,latitude,longitude,time,u100,v100,100m_wind_direction,100m_wind_speed
0,34.24,127.09,2018-01-01 00:00:00,1.1992001371319785,-3.387745165685549,340.50696351005513 degree,3.5937304123324503 meter / second
1,34.24,127.09,2018-01-01 01:00:00,1.5731244834276006,-3.3271057486084805,334.69424608267923 degree,3.6802653848306854 meter / second
2,34.24,127.09,2018-01-01 02:00:00,1.1999525000017885,-4.063085522995914,343.5465295913808 degree,4.23657290382681 meter / second
3,34.24,127.09,2018-01-01 03:00:00,1.0532417403888177,-4.451842333846161,346.6893861979315 degree,4.574736968299062 meter / second
4,34.24,127.09,2018-01-01 04:00:00,1.3669770570996316,-4.10877275504028,341.59786209610036 degree,4.330200899172931 meter / second
5,34.24,127.09,2018-01-01 05:00:00,2.876969336808513,-4.251649189797209,325.91491262623157 degree,5.133563421059457 meter / second
6,34.24,127.09,2018-01-01 06:00:00,4.28238317761379,-4.701045417724524,317.6682725189729 degree,6.3591378110101 meter / second
7,34.24,127.09,2018-01-01 07:00:00,4.398247059564547,-5.06238988934815,319.01561291959695 degree,6.706144092453021 meter / second
8,34.24,127.09,2018-01-01 08:00:00,3.883630856614434,-5.544182518179652,324.9892358782853 degree,6.7690877099751505 meter / second
9,34.24,127.09,2018-01-01 09:00:00,2.7919523325199713,-6.280162292567086,336.03165202872196 degree,6.872804103715251 meter / second
10,34.24,127.09,2018-01-01 10:00:00,3.688768873333617,-6.411409250076357,330.086267622552 degree,7.396836105581874 meter / second
11,34.24,127.09,2018-01-01 11:00:00,2.402228365958337,-6.6631043647935035,340.1744025778634 degree,7.082913305861163 meter / second
12,34.24,127.09,2018-01-01 12:00:00,2.181786045103976,-6.872434955251329,342.38696271566596 degree,7.210447459122824 meter / second
13,34.24,127.09,2018-01-01 13:00:00,1.9560771841609443,-6.847514646863493,344.0573548007337 degree,7.121425053274455 meter / second
14,34.24,127.09,2018-01-01 14:00:00,1.654379673367092,-6.87326563219759,346.4664711130049 degree,7.069565230931726 meter / second
15,34.24,127.09,2018-01-01 15:00:00,1.525725622629564,-6.5368414689618,346.8621322875967 degree,6.712535665893109 meter / second
16,34.24,127.09,2018-01-01 16:00:00,1.6521225847576617,-5.814983202660807,344.13936898701496 degree,6.045125199885745 meter / second
17,34.24,127.09,2018-01-01 17:00:00,1.6716840193727243,-5.5699335035137505,343.29411246195326 degree,5.815383623991723 meter / second
18,34.24,127.09,2018-01-01 18:00:00,1.297007310207292,-5.867315850275264,347.5348651133258 degree,6.0089619111475905 meter / second
19,34.24,127.09,2018-01-01 19:00:00,0.6289090818159186,-5.977795884128005,353.99414692545895 degree,6.010787824028416 meter / second
20,34.24,127.09,2018-01-01 20:00:00,0.34075410267864825,-5.731915508034686,356.5978527246534 degree,5.742035244557531 meter / second
21,34.24,127.09,2018-01-01 21:00:00,0.2647654528278274,-5.41210488372412,357.19926742006123 degree,5.418577305662585 meter / second
22,34.24,127.09,2018-01-01 22:00:00,0.9832719934964782,-5.378877805873672,349.64057370257984 degree,5.468011545682297 meter / second
23,34.24,127.09,2018-01-01 23:00:00,0.7410111494176244,-5.046607027369188,351.6467491245292 degree,5.100719558283252 meter / second
24,34.24,127.09,2018-01-02 00:00:00,0.6845839341818665,-4.832292375233795,351.9366471180206 degree,4.880543490502117 meter / second
25,34.24,127.09,2018-01-02 01:00:00,0.6025763813725646,-4.187687064935095,351.81177601714205 degree,4.230818035464627 meter / second
26,34.24,127.09,2018-01-02 02:00:00,0.947910938615403,-3.4267869821598262,344.5375981063492 degree,3.5554752380865744 meter / second
27,34.24,127.09,2018-01-02 03:00:00,2.0516272686268278,-3.698418343587242,330.98151018811444 degree,4.229358425761025 meter / second
28,34.24,127.09,2018-01-02 04:00:00,2.7550865518992755,-3.5356056621200445,322.0728404083543 degree,4.482299555637882 meter / second
29,34.24,127.09,2018-01-02 05:00:00,3.7587386202259565,-3.888643364281059,315.97317981690753 degree,5.408295778685301 meter / second
30,34.24,127.09,2018-01-02 06:00:00,4.5366818276096055,-4.323918084121933,313.62445855923147 degree,6.267196311203273 meter / second
31,34.24,127.09,2018-01-02 07:00:00,5.00766098411073,-5.22686392470787,316.2269727744042 degree,7.238561667845167 meter / second
32,34.24,127.09,2018-01-02 08:00:00,5.029479507335225,-5.697857753237977,318.56526621033674 degree,7.6000820450070865 meter / second
33,34.24,127.09,2018-01-02 09:00:00,4.705211110447069,-5.6031605813641985,319.97839773729936 degree,7.316721950055784 meter / second
34,34.24,127.09,2018-01-02 10:00:00,4.3696572705117624,-5.068204627971979,319.23305276533114 degree,6.69183105082106 meter / second
35,34.24,127.09,2018-01-02 11:00:00,4.081502291374491,-4.417784579049451,317.26577962546645 degree,6.014605684613278 meter / second
36,34.24,127.09,2018-01-02 12:00:00,3.8467650759937384,-4.544047474881155,319.7504044673186 degree,5.953651736863596 meter / second
37,34.24,127.09,2018-01-02 13:00:00,3.2569125860626165,-5.76846529367018,330.55064797458306 degree,6.624399703937744 meter / second
38,34.24,127.09,2018-01-02 14:00:00,3.5247537677150134,-6.779399137270073,332.52911953355283 degree,7.64095162826198 meter / second
39,34.24,127.09,2018-01-02 15:00:00,3.6819976075053256,-7.761259287750825,334.6199986679053 degree,8.59035808993859 meter / second
40,34.24,127.09,2018-01-02 16:00:00,3.6172944007016565,-8.189057915075349,336.16785461422427 degree,8.95240125987468 meter / second
41,34.24,127.09,2018-01-02 17:00:00,3.7805571434504492,-8.949957997850618,337.100288636576 degree,9.715676017559687 meter / second
42,34.24,127.09,2018-01-02 18:00:00,3.556353008247038,-9.548045399158688,339.57118643628695 degree,10.188857524946707 meter / second
43,34.24,127.09,2018-01-02 19:00:00,3.4735930925679264,-9.607854139289497,340.1232106695375 degree,10.216492065997894 meter / second
44,34.24,127.09,2018-01-02 20:00:00,3.815165835461714,-9.238202898203257,337.5604977789685 degree,9.994992903471484 meter / second
45,34.24,127.09,2018-01-02 21:00:00,3.85353634182203,-9.104463909855202,337.0591048107175 degree,9.886405080897655 meter / second
46,34.24,127.09,2018-01-02 22:00:00,4.712734739145169,-8.52548207831114,331.06696363292053 degree,9.741340430821115 meter / second
47,34.24,127.09,2018-01-02 23:00:00,4.0867688314631625,-8.472318753750422,334.24886224871193 degree,9.406479923274693 meter / second
48,34.24,127.09,2018-01-03 00:00:00,4.195109084715817,-8.980693044862281,334.961531071177 degree,9.912203982904252 meter / second
49,34.24,127.09,2018-01-03 01:00:00,4.371161996251383,-9.859549254006643,336.0902318152199 degree,10.785071566274159 meter / second
50,34.24,127.09,2018-01-03 02:00:00,3.9671431351633557,-9.415137087756895,337.15148688635406 degree,10.216801409253735 meter / second
51,34.24,127.09,2018-01-03 03:00:00,4.547214907786946,-9.216605297600466,333.7395590890318 degree,10.277303957232988 meter / second
52,34.24,127.09,2018-01-03 04:00:00,4.8210749923978256,-9.540569306642338,333.19145216628965 degree,10.689491418078296 meter / second
53,34.24,127.09,2018-01-03 05:00:00,4.377933262079672,-9.523955767717114,335.31289653299336 degree,10.48198612442583 meter / second
54,34.24,127.09,2018-01-03 06:00:00,4.459940814888974,-9.594563308149317,335.06909065375385 degree,10.580487566572614 meter / second
55,34.24,127.09,2018-01-03 07:00:00,4.3696572705117624,-9.888622947125786,336.15997163520734 degree,10.811048443706047 meter / second
56,34.24,127.09,2018-01-03 08:00:00,3.968647860902976,-10.03482208966776,338.4218165377434 degree,10.791099119882729 meter / second
57,34.24,127.09,2018-01-03 09:00:00,3.7820618691900694,-10.159423631606941,339.58114529133917 degree,10.840566429335464 meter / second
58,34.24,127.09,2018-01-03 10:00:00,5.891687356137604,-11.010867501524682,331.8496861014256 degree,12.488041601412293 meter / second
59,34.24,127.09,2018-01-03 11:00:00,5.350738452744139,-11.05821608746157,334.17905532836 degree,12.284728121805083 meter / second
60,34.24,127.09,2018-01-03 12:00:00,4.823332081007255,-11.144606489872736,336.5972711438536 degree,12.143590333084664 meter / second
61,34.24,127.09,2018-01-03 13:00:00,4.753362334114916,-11.157897321012916,336.92556916633714 degree,12.128195500801 meter / second
62,34.24,127.09,2018-01-03 14:00:00,4.642764992252831,-11.70365207470653,338.362084482908 degree,12.590899040937105 meter / second
63,34.24,127.09,2018-01-03 15:00:00,3.5127159617980523,-11.172018829099356,342.545763756203 degree,11.711241528805619 meter / second
64,34.24,127.09,2018-01-03 16:00:00,3.1643719530759733,-11.237642307853992,344.2734800492156 degree,11.674667211389105 meter / second
65,34.24,127.09,2018-01-03 17:00:00,2.9770335984932568,-11.12716227400125,345.0215278417875 degree,11.518527220027497 meter / second
66,34.24,127.09,2018-01-03 18:00:00,3.146315244200531,-10.972656361996666,344.0002091002825 degree,11.414836278035466 meter / second
67,34.24,127.09,2018-01-03 19:00:00,3.1139636407986964,-10.847224143111223,343.98256662628427 degree,11.285346302489405 meter / second
68,34.24,127.09,2018-01-03 20:00:00,2.607623429416495,-10.65949115325619,346.25374004464044 degree,10.973807525011035 meter / second
69,34.24,127.09,2018-01-03 21:00:00,2.543672585482636,-9.933479502223891,345.636864366791 degree,10.253988747957457 meter / second
70,34.24,127.09,2018-01-03 22:00:00,3.378043008102043,-8.650914297196582,338.6701537382878 degree,9.287060500611986 meter / second
71,34.24,127.09,2018-01-03 23:00:00,2.7189731341483907,-9.702551311163274,344.3453854713116 degree,10.076324570495776 meter / second
72,34.24,127.09,2018-01-04 00:00:00,2.2668030493925175,-9.797248483037052,346.97263051622906 degree,10.056066522408601 meter / second
73,34.24,127.09,2018-01-04 01:00:00,2.262288872173657,-8.397557828586912,344.92255535767276 degree,8.696949374672828 meter / second
74,34.24,127.09,2018-01-04 02:00:00,2.018523302355183,-7.196398964293201,344.3316834411198 degree,7.474128335493787 meter / second
75,34.24,127.09,2018-01-04 03:00:00,1.7664817409687976,-6.714606335461699,345.2605864364406 degree,6.943082599350129 meter / second
76,34.24,127.09,2018-01-04 04:00:00,2.272069589481188,-6.5335187611767545,340.8245802949627 degree,6.917309276163229 meter / second
77,34.24,127.09,2018-01-04 05:00:00,1.5016500107956405,-6.3291722323964965,346.6528795184007 degree,6.504873088866638 meter / second
78,34.24,127.09,2018-01-04 06:00:00,0.8824553689419239,-5.750190400852433,351.2751491740304 degree,5.81750952936305 meter / second
79,34.24,127.09,2018-01-04 07:00:00,0.49047431377085937,-5.255937617827012,354.668704209588 degree,5.278773086140196 meter / second
80,34.24,127.09,2018-01-04 08:00:00,-0.3296012143221556,-4.474270611395212,4.21313561699796 degree,4.4863943723749395 meter / second
81,34.24,127.09,2018-01-04 09:00:00,-0.40333277556354585,-3.915225026561418,5.881662991536032 degree,3.935945164310175 meter / second
82,34.24,127.09,2018-01-04 10:00:00,1.0810791665717918,-2.743970532333111,338.4963771615587 degree,2.949255235938052 meter / second
83,34.24,127.09,2018-01-04 11:00:00,0.7605725840326869,-2.8635880125947253,345.12558856587276 degree,2.9628714048129674 meter / second
84,34.24,127.09,2018-01-04 12:00:00,0.7244591662818021,-3.2025042066692992,347.2532942074066 degree,3.283424169574239 meter / second
85,34.24,127.09,2018-01-04 13:00:00,0.7906670988250912,-3.279757162671592,346.4460484433535 degree,3.3737162754535386 meter / second
86,34.24,127.09,2018-01-04 14:00:00,0.9780054534078073,-2.2164906714572417,336.1909856218516 degree,2.4226690990625164 meter / second
87,34.24,127.09,2018-01-04 15:00:00,1.7883002641932904,-1.9191083246957281,317.0207219971997 degree,2.6231649961125654 meter / second
88,34.24,127.09,2018-01-04 16:00:00,1.990685876172209,-2.0885664217330153,316.37453283813704 degree,2.8852972040297975 meter / second
89,34.24,127.09,2018-01-04 17:00:00,2.542167859743016,-2.567867019725734,315.2881469549617 degree,3.613386010116482 meter / second
90,34.24,127.09,2018-01-04 18:00:00,3.161362501596733,-3.5862769558419787,318.6032897422057 degree,4.780752584113213 meter / second
91,34.24,127.09,2018-01-04 19:00:00,3.4750978183075465,-5.08980222857477,325.67642118153015 degree,6.162985605435938 meter / second
92,34.24,127.09,2018-01-04 20:00:00,3.5134683246678624,-5.648847813408565,328.11922902701434 degree,6.65236358653788 meter / second
93,34.24,127.09,2018-01-04 21:00:00,3.3825571853209033,-6.456265805174462,332.34912468173167 degree,7.28869407089028 meter / second
94,34.24,127.09,2018-01-04 22:00:00,4.93392942286934,-7.634165714972859,327.1255827021067 degree,9.089782489890661 meter / second
95,34.24,127.09,2018-01-04 23:00:00,4.505082587077581,-7.8501417210007745,330.14911042022067 degree,9.050994097677151 meter / second
96,34.24,127.09,2018-01-05 00:00:00,4.281630814743979,-7.468861002666879,330.1758954746664 degree,8.60907934165572 meter / second
97,34.24,127.09,2018-01-05 01:00:00,3.99949473856519,-7.25039296580018,331.117792931737 degree,8.280347596709655 meter / second
98,34.24,127.09,2018-01-05 02:00:00,4.617937017549096,-7.44227934038652,328.18038351283815 degree,8.758588018533253 meter / second
99,34.24,127.09,2018-01-05 03:00:00,5.7329387906076725,-7.628350976349031,323.0740194471652 degree,9.542448626805353 meter / second
100,34.24,127.09,2018-01-05 04:00:00,6.573328116185559,-7.767074026374653,319.7585326359805 degree,10.175268126895691 meter / second
101,34.24,127.09,2018-01-05 05:00:00,6.973585162924536,-7.998832894381531,318.9172572015211 degree,10.611890392234612 meter / second
102,34.24,127.09,2018-01-05 06:00:00,7.291082293984401,-8.454043860932675,319.22429208619474 degree,11.163813802649447 meter / second
103,34.24,127.09,2018-01-05 07:00:00,7.413717441763447,-8.927529720301564,320.2926323090078 degree,11.604481600363512 meter / second
104,34.24,127.09,2018-01-05 08:00:00,7.3768516611427515,-9.165103326932272,321.1699429974837 degree,11.765077960806277 meter / second
105,34.24,127.09,2018-01-05 09:00:00,7.14437153437143,-9.52810915244842,323.1366851927483 degree,11.909110321183029 meter / second
106,34.24,127.09,2018-01-05 10:00:00,8.257868581690385,-9.756545312670253,319.75566790032076 degree,12.782119149446897 meter / second
107,34.24,127.09,2018-01-05 11:00:00,7.532590775193444,-9.827983530048717,322.5318865815971 degree,12.382616203914187 meter / second
108,34.24,127.09,2018-01-05 12:00:00,7.489706091614268,-9.43258130362838,321.5495436133429 degree,12.044471237390354 meter / second
109,34.24,127.09,2018-01-05 13:00:00,7.2617401420618055,-9.02056553828282,321.1652224894948 degree,11.580305372540373 meter / second
110,34.24,127.09,2018-01-05 14:00:00,7.43704069072756,-9.194177020051413,321.03109074099063 degree,11.82550063682629 meter / second
111,34.24,127.09,2018-01-05 15:00:00,7.449830859514332,-9.306318407796677,321.3222663569293 degree,11.920886801856117 meter / second
112,34.24,127.09,2018-01-05 16:00:00,7.412212716023827,-9.162611296093488,321.02842558866223 degree,11.7853444205456 meter / second
113,34.24,127.09,2018-01-05 17:00:00,7.599551070606543,-9.43175062668212,321.1401718781682 degree,12.112435608030106 meter / second
114,34.24,127.09,2018-01-05 18:00:00,7.320424445906994,-10.150286185198068,324.200716042836 degree,12.514668341975966 meter / second
115,34.24,127.09,2018-01-05 19:00:00,6.550004867221446,-10.703517031408033,328.53550017247795 degree,12.548619071526018 meter / second
116,34.24,127.09,2018-01-05 20:00:00,5.797641997411342,-10.764156448485101,331.6928166758214 degree,12.22618978985731 meter / second
117,34.24,127.09,2018-01-05 21:00:00,5.144591026416171,-10.515784041553,333.9309350070689 degree,11.706772861795113 meter / second
118,34.24,127.09,2018-01-05 22:00:00,5.674254486762484,-9.655202725226385,329.557723208355 degree,11.199111734676245 meter / second
119,34.24,127.09,2018-01-05 23:00:00,4.99487081532396,-8.974047629292192,330.9000975806442 degree,10.270455944824448 meter / second
